point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
60,0.0002289,4.47E-05,0.0014116,4.76E-05,0.0001829,0.0001484,166.597,166.597,166.597,166.597,166.597,166.597
61,0.0002479,7.55E-05,0.0014118,7.65E-05,0.0001998,0.0001305,260.136,257.438,257.438,257.438,257.438,257.438
62,0.0002296,5.16E-05,0.0014644,0.000122,0.0002934,0.0001971,411.035,411.035,411.035,411.035,411.035,411.035
63,0.0003209,0.000188,0.0012176,0.0001588,0.0003328,0.0003046,604.268,599.915,599.915,599.915,599.915,599.915
64,0.0005333,0.0004416,0.0014469,0.0004776,0.0005795,0.0005752,893.949,893.949,893.949,893.949,893.949,893.949
65,0.0006237,0.0003475,0.0012309,0.0004765,0.0008265,0.0008772,973.03,972.901,972.901,972.901,972.901,972.901
66,0.0005582,0.0004346,0.0013989,0.0007289,0.0007415,0.0007104,1034.965,1034.965,1034.965,1034.965,1034.965,1034.965
67,0.0002572,9.47E-05,0.001238,0.0001165,0.0003162,0.0002642,489.417,489.417,489.417,489.417,489.417,489.417
68,0.0003341,0.000159,0.0014585,0.0001611,0.0002781,0.0002259,636.355,636.355,636.355,636.355,636.355,636.355
69,0.0008342,0.0005623,0.0012719,0.0004531,0.0006832,0.0007039,1147.712,1144.264,1144.264,1144.264,1144.264,1144.264
70,0.000389,0.0002308,0.0014121,0.0003832,0.0004049,0.0003818,620.403,599.201,599.201,599.201,599.201,599.201
71,0.0002809,0.0001135,0.0021428,0.0005137,0.0009289,0.0007417,400.024,400.024,400.024,400.024,400.024,400.024
72,0.0007672,0.0003345,0.002071,0.0003376,0.0010553,0.0010631,615.94,612.38,612.38,612.38,612.38,612.38
73,0.0003902,0.0001128,0.002096,0.0001488,0.0006669,0.0005984,863.641,870.754,870.754,870.754,870.754,870.754
74,0.0006048,0.0003522,0.0021455,0.0005181,0.0007322,0.0006848,703.642,703.642,703.642,703.642,703.642,703.642
75,0.0004009,0.0001185,0.0020864,7.61E-05,0.0004518,0.0003651,359.57,359.57,359.57,359.57,359.57,359.57
76,0.000381,0.0001025,0.0021112,0.0001193,0.0004238,0.000325,265.417,265.417,265.417,265.417,265.417,265.417
77,0.0009233,0.0006508,0.0021235,0.0010964,0.0019553,0.0020853,1125.268,1125.268,1125.268,1125.268,1125.268,1125.268
78,0.0003938,0.0001025,0.0020772,0.0001058,0.0003805,0.0002758,255.513,255.513,255.513,255.513,255.513,255.513
79,0.0006156,0.0003559,0.0021006,0.0003728,0.0007347,0.000703,616.786,597.456,597.456,597.456,597.456,597.456
