point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
47,0.0004493,0.0002459,0.0016936,0.0002469,0.0003498,0.0002606,737.837,688.976,688.976,688.976,688.976,688.976
48,0.0002744,4.08E-05,0.001697,5.85E-05,0.000227,0.0001295,247.34,247.34,247.34,247.34,247.34,247.34
49,0.0003205,9.62E-05,0.0023904,0.0001129,0.0003461,0.0001505,906.623,906.623,906.623,906.623,906.623,906.623
50,0.0004037,0.000206,0.0014622,0.0003698,0.0006059,0.0004621,602.005,602.005,602.005,602.005,602.005,602.005
51,0.0004429,3.13E-05,0.0029886,2.43E-05,0.00028,0.0001075,138.108,138.108,138.108,138.108,138.108,138.108
52,0.0005118,0.0001486,0.0019992,0.0001067,0.0003022,0.000225,414.651,414.651,414.651,414.651,414.651,414.651
53,0.0003486,0.000151,0.0021837,0.000163,0.0005022,0.0003314,1025.988,816.586,816.586,816.586,816.586,816.586
54,0.0005078,0.0002268,0.0025848,0.0008726,0.0021736,0.0022505,1703.893,1719.933,1719.933,1719.933,1719.933,1719.933
55,0.0006483,0.0003275,0.0025069,0.0005738,0.0012568,0.001203,906.859,906.859,906.859,906.859,906.859,906.859
56,0.0006278,0.0002878,0.0025283,0.0002874,0.0009924,0.0009421,795.962,798.875,798.875,798.875,798.875,798.875
57,0.0006937,0.0003949,0.0025394,0.0003478,0.0009891,0.0009999,1084.231,1127.938,1127.938,1127.938,1127.938,1127.938
58,0.0005823,0.0002288,0.0027143,0.0002053,0.0007036,0.000649,470.173,452.46,452.46,452.46,452.46,452.46
59,0.0005432,0.0001985,0.0024718,0.0002897,0.0011652,0.00114,2892.437,2892.437,2892.437,2892.437,2892.437,2892.437
60,0.0005708,0.0002567,0.0025127,0.0004886,0.0013051,0.0013119,999.036,977.641,977.641,977.641,977.641,977.641
61,0.0009355,0.000427,0.0019924,0.0005697,0.0013377,0.0013179,1154.049,1154.049,1154.049,1154.049,1154.049,1154.049
62,0.0006205,0.0002317,0.0029567,0.000294,0.0008307,0.0007084,2140.494,2140.494,2140.494,2140.494,2140.494,2140.494
63,0.0005035,0.0001257,0.0016552,8.87E-05,0.0002383,0.000158,323.117,323.117,323.117,323.117,323.117,323.117
64,0.0004418,0.0004082,0.0026923,0.0006868,0.0012689,0.0011319,691.557,680.721,680.721,680.721,680.721,680.721
65,0.0010729,0.0006408,0.0031833,0.0004694,0.0017922,0.0018622,1010.482,1069.109,1069.109,1069.109,1069.109,1069.109
66,0.000718,0.0001309,0.0031733,7.68E-05,0.0006488,0.0005397,352.674,352.674,352.674,352.674,352.674,352.674
67,0.0006583,0.0002851,0.0034132,0.0006001,0.0007419,0.0003678,696.575,696.575,696.575,696.575,696.575,696.575
68,0.0003562,2.88E-05,0.0024736,2.90E-05,0.0003549,0.0002032,443.054,443.054,443.054,443.054,443.054,443.054
69,0.0005279,0.0001796,0.0040116,0.0002346,0.0009304,0.0007249,839.795,839.795,839.795,839.795,839.795,839.795
70,0.0009127,0.0003919,0.0029415,0.0002327,0.0003974,0.000258,493.578,493.578,493.578,493.578,493.578,493.578
71,0.0004987,0.0001429,0.0024959,0.0001225,0.0007227,0.0007845,444.272,444.272,444.272,444.272,444.272,444.272
72,0.0003256,0.000114,0.0015682,0.0001133,0.0003903,0.0003121,2117.503,2117.503,2117.503,2117.503,2117.503,2117.503
73,0.0003053,7.31E-05,0.0017635,3.81E-05,0.0002492,0.0001469,1543.48,1532.518,1532.518,1532.518,1532.518,1532.518
74,0.0003252,0.0001027,0.0018167,0.0002138,0.0003486,0.000236,2347.764,2347.764,2347.764,2347.764,2347.764,2347.764
75,0.0004903,0.0003247,0.0017339,0.0002151,0.0004467,0.0003982,1269.513,1269.513,1269.513,1269.513,1269.513,1269.513
76,0.0004844,0.000296,0.0017894,0.0005776,0.0015567,0.0014311,1063.159,1063.159,1063.159,1063.159,1063.159,1063.159
77,0.0007832,0.000276,0.0031767,9.99E-05,0.0002882,0.0001041,275.594,275.594,275.594,275.594,275.594,275.594
78,0.0006108,0.0002857,0.0025563,0.000364,0.0004454,0.000307,797.867,797.867,797.867,797.867,797.867,797.867
79,0.000509,0.0001899,0.0025822,0.0004591,0.0010361,0.0009908,645.769,702.174,702.174,702.174,702.174,702.174
80,0.0005112,0.0001027,0.0025393,0.0005291,0.0007869,0.0006104,1076.898,1268.182,1268.182,1268.182,1268.182,1268.182
81,0.000456,9.53E-05,0.0025685,0.0001461,0.0005423,0.0004223,1809.967,1809.967,1809.967,1809.967,1809.967,1809.967
82,0.0005631,0.0002601,0.0025323,0.0004061,0.0007766,0.0006899,897.768,927.348,927.348,927.348,927.348,927.348
83,0.0004786,0.000134,0.0024963,0.0001531,0.0008377,0.0007597,1863.112,1863.112,1863.112,1863.112,1863.112,1863.112
84,0.0005,0.0001509,0.0025554,0.0002143,0.0008014,0.0007203,880.732,880.732,880.732,880.732,880.732,880.732
85,0.0004513,9.93E-05,0.0024965,7.78E-05,0.0005088,0.0003893,804.26,804.26,804.26,804.26,804.26,804.26
86,0.0006134,0.000254,0.0025156,0.0002988,0.000851,0.0008199,754.513,754.513,754.513,754.513,754.513,754.513
87,0.0006261,0.0003168,0.002537,0.0003105,0.0009063,0.0008475,725.915,695.603,695.603,695.603,695.603,695.603
88,0.0006394,0.000321,0.0024863,0.0001802,0.0004793,0.0002328,626.918,626.918,626.918,626.918,626.918,626.918
89,0.0002228,1.31E-05,0.001902,1.71E-05,0.0001692,5.25E-05,535.361,535.361,535.361,535.361,535.361,535.361
90,0.0003599,0.0001156,0.0018082,0.0001326,0.000417,0.0003518,2256.642,2256.642,2256.642,2256.642,2256.642,2256.642
91,0.0005027,0.0002913,0.0017345,0.0004792,0.0009152,0.0009491,1176.416,1176.416,1176.416,1176.416,1176.416,1176.416
92,0.0003552,0.0001116,0.0017512,0.0001128,0.0002474,0.0001562,1346.721,1137.319,1137.319,1137.319,1137.319,1137.319
93,0.0003801,0.0001564,0.0020268,0.0004158,0.0003475,0.0002684,973.098,938.267,938.267,938.267,938.267,938.267
94,0.0003768,0.0001906,0.0016509,0.0002984,0.00044,0.0004356,640.589,640.589,640.589,640.589,640.589,640.589
95,0.0003566,6.97E-05,0.0021518,0.0001988,0.0002972,0.0001733,507.244,507.244,507.244,507.244,507.244,507.244
96,0.000348,9.20E-05,0.0017579,8.21E-05,0.000299,0.0002233,1641.837,1641.837,1641.837,1641.837,1641.837,1641.837
97,0.0004192,0.0002052,0.0017033,0.0003262,0.0004867,0.00045,840.352,840.352,840.352,840.352,840.352,840.352
98,0.000491,0.0002924,0.0017006,0.0002883,0.0009976,0.0005915,758.854,820.141,820.141,820.141,820.141,820.141
99,0.0003977,0.0001835,0.0017333,0.0002856,0.0004519,0.0003862,734.363,734.363,734.363,734.363,734.363,734.363
,0.000470878,0.000188332,0.002178579,0.000242967,0.000565317,0.000490363,,,,,,
