point_index,bidirectional_dijkstra_time,nx_bidirectional_dijkstra_time,dijkstras_time,nx_dijkstra_time,A_star_time,nx_A_star_time,bidirectional_dijkstra_cost,nx_bidirectional_dijkstra_cost,dijkstras_cost,nx_dijkstra_cost,A_star_cost,nx_A_star_cost
50,0.0083659,0.000912,0.0589424,0.0013938,0.0055463,0.0019166,1165.242,1147.675,1147.675,1147.675,1147.675,1147.675
51,0.1275973,0.0012874,0.0588516,0.0015387,0.0028812,0.0010801,735.956,735.956,735.956,735.956,735.956,735.956
52,0.0045134,0.0001681,0.0439204,0.0002131,0.0023879,0.0002018,290.288,283.88,283.88,283.88,283.88,283.88
53,0.0048346,0.0005906,0.0411134,0.0014533,0.0029638,0.0011833,1041.674,1040.448,1040.448,1040.448,1040.448,1040.448
54,0.0059792,0.0002021,0.040568,0.0002945,0.0023703,0.0002968,516.018,516.018,516.018,516.018,516.018,516.018
55,0.107949,0.0009181,0.0499294,0.0014766,0.0049135,0.0014393,826.658,755.051,755.051,755.051,755.051,755.051
56,0.0091495,0.0017387,0.0605632,0.0015992,0.0059526,0.0023215,874.68,874.68,874.68,874.68,874.68,874.68
57,0.0072878,0.000115,0.0483906,0.0004736,0.0043207,0.0008875,304.833,304.833,304.833,304.833,304.833,304.833
58,0.0079908,0.0001632,0.0551484,0.0002798,0.1172276,0.0003722,739.927,564.899,564.899,564.899,564.899,564.899
59,0.0061356,0.0011819,0.0457442,0.0017795,0.0032358,0.0012179,948.028,937.459,937.459,937.459,937.459,937.459
60,0.0061531,0.0027306,0.0633534,0.0025407,0.0042499,0.0032912,1038.938,1038.938,1038.938,1038.938,1038.938,1038.938
61,0.0095748,0.0020405,0.0588729,0.0027801,0.0063104,0.0033342,905.906,905.906,905.906,905.906,905.906,905.906
62,0.0073005,0.0002999,0.0599543,0.0002757,0.1136542,0.0006908,324.012,324.012,324.012,324.012,324.012,324.012
63,0.0090666,0.0010557,0.047964,0.0025068,0.0035218,0.0016473,1034.01,1034.01,1034.01,1034.01,1034.01,1034.01
64,0.0047264,0.0004097,0.0423584,0.0007485,0.0031301,0.0011916,606.935,606.935,606.935,606.935,606.935,606.935
65,0.0043704,0.0003747,0.045386,0.0006415,0.0023195,0.0003366,649.934,637.394,637.394,637.394,637.394,637.394
66,0.0048994,0.0007079,0.0435285,0.0011515,0.0028612,0.0007926,1182.476,1174.622,1174.622,1174.622,1174.622,1174.622
67,0.121342,0.0003949,0.0554157,0.0005013,0.0026568,0.0008717,1240.902,1234.203,1234.203,1234.203,1234.203,1234.203
68,0.0077689,0.00025,0.0401387,0.0003786,0.0023937,0.0003257,643.405,645.664,645.664,645.664,645.664,645.664
69,0.0052286,0.0011955,0.0449676,0.0013001,0.0040427,0.0022402,1144.989,1132.662,1132.662,1132.662,1132.662,1132.662
70,0.0054137,0.0011344,0.0396428,0.0023375,0.1188226,0.0050364,1022.265,1031.247,1031.247,1031.247,1031.247,1031.247
71,0.0086905,0.00117,0.0446824,0.0018231,0.0040845,0.0025666,927.422,927.422,927.422,927.422,927.422,927.422
72,0.0087954,0.0009754,0.0550263,0.0034223,0.0061722,0.0031335,1796.673,1677.126,1677.126,1677.126,1677.126,1677.126
73,0.0077875,0.0002827,0.0520792,0.000282,0.0026821,0.0004046,441.849,444.521,444.521,444.521,444.521,444.521
74,0.0043599,0.0003301,0.0419566,0.0004959,0.0024277,0.0003361,1031.185,1003.842,1003.842,1003.842,1003.842,1003.842
75,0.1178539,0.0006894,0.047497,0.000622,0.0026322,0.0006068,869.946,841.951,841.951,841.951,841.951,841.951
76,0.0050207,0.0007528,0.0405833,0.0011341,0.0036453,0.0016493,850.803,832.297,832.297,832.297,832.297,832.297
77,0.0055408,0.0013344,0.0578199,0.0030185,0.0066082,0.0032378,986.278,968.476,968.476,968.476,968.476,968.476
78,0.0091593,0.0015435,0.0574271,0.0025007,0.0044323,0.0018232,1047.403,1038.117,1038.117,1038.117,1038.117,1038.117
79,0.1159641,0.0001055,0.0449882,9.89E-05,0.0024446,0.0001678,151.106,151.106,151.106,151.106,151.106,151.106
80,0.0059316,0.0016616,0.0427172,0.001379,0.0032238,0.0013537,1217.103,1216.819,1216.819,1216.819,1216.819,1216.819
81,0.0050744,0.0008644,0.0427401,0.0010139,0.0030066,0.000947,1331.619,1331.619,1331.619,1331.619,1331.619,1331.619
82,0.008383,0.0017744,0.0427988,0.0010079,0.0035552,0.0014944,1129.328,1129.328,1129.328,1129.328,1129.328,1129.328
83,0.004432,0.0002922,0.1575258,0.0005362,0.0022295,0.0004952,394.469,394.469,394.469,394.469,394.469,394.469
84,0.0045996,0.0005041,0.0487464,0.0009516,0.0050513,0.00146,951.803,951.803,951.803,951.803,951.803,951.803
85,0.0089984,0.0018141,0.0532734,0.0023607,0.0039247,0.0018407,1180.84,1180.84,1180.84,1180.84,1180.84,1180.84
86,0.0047638,0.0005338,0.0399362,0.0008745,0.0026958,0.0015547,542.096,542.096,542.096,542.096,542.096,542.096
87,0.0072833,0.001065,0.1518674,0.0020697,0.0065138,0.0030448,836.571,836.571,836.571,836.571,836.571,836.571
88,0.0077694,0.0002784,0.06019,0.0007167,0.0032043,0.0003949,631.747,631.747,631.747,631.747,631.747,631.747
89,0.0052734,0.0001494,0.0523508,0.0003276,0.0042096,0.000665,457.433,454.9,454.9,454.9,454.9,454.9
90,0.0103633,0.0032003,0.0601145,0.0043991,0.0065771,0.0027741,1239.992,1231.356,1231.356,1231.356,1231.356,1231.356
91,0.0048702,0.0003925,0.0413099,0.0008157,0.1152461,0.0008739,1068.234,1050.416,1050.416,1050.416,1050.416,1050.416
92,0.005016,0.0002566,0.0416967,0.0003284,0.0024931,0.0004839,734.481,734.048,734.048,734.048,734.048,734.048
93,0.0061381,0.0018126,0.0402694,0.0032675,0.0046006,0.0027987,1204.572,1204.572,1204.572,1204.572,1204.572,1204.572
94,0.0045735,0.0004047,0.0446008,0.000536,0.0032914,0.0003286,1108.123,1108.123,1108.123,1108.123,1108.123,1108.123
95,0.1188516,0.0006895,0.0570948,0.0013012,0.0050435,0.0017207,754.101,756.535,756.535,756.535,756.535,756.535
96,0.0083508,0.0007899,0.0575559,0.0007467,0.0030228,0.0006722,634.809,633.828,633.828,633.828,633.828,633.828
97,0.0039617,0.0003403,0.0566647,0.0007999,0.0051556,0.0010949,316.974,316.974,316.974,316.974,316.974,316.974
98,0.0081534,0.0005934,0.0592262,0.0007615,0.0047616,0.0014203,836.489,823.004,823.004,823.004,823.004,823.004
99,0.0079044,0.0007599,0.164565,0.0020161,0.0033851,0.0014617,1377.4,1377.4,1377.4,1377.4,1377.4,1377.4
,0.014901296,0.000894654,0.051842033,0.00139873,0.006554956,0.001432126,,,,,,
